Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
473,Responsible Land Management,Environmental,Agriculture,Refuge Isle,,11351,3409,2019-10-26 00:00:02-04:00
474,Financial and Economic Education,Education and Creativity,Educational,Imperium Anglorum,,11435,2185,2019-10-30 00:00:02-04:00
475,Promoting Natural Sciences in Schools,Education and Creativity,Educational,Kenmoria,,13316,1246,2019-11-03 12:00:02-05:00
476,Protecting Borrower Rights,Civil Rights,Significant,Imperium Anglorum,,11637,3020,2019-11-07 12:00:02-05:00
477,Convention on Animal Testing,Health,Bioethics,Marxist Germany,United States of Americanas,7621,7310,2019-11-19 12:00:02-05:00
478,Ensuring Commercial Vessel Navigation,Regulation,Transportation,Terttia,Araraukar,11876,2056,2019-12-24 12:00:02-05:00
479,"Repeal ""Convention on Animal Testing""",Repeal,477,Concrete Slab,Maowi,11532,1193,2020-01-01 12:00:02-05:00
480,Wartime Healthcare Protections,Global Disarmament,Mild,Maowi,Araraukar,9966,3340,2020-01-05 12:00:02-05:00
481,Data Protection Accord,Regulation,Consumer Protection,Marxist Germany,Kenmoria,11297,2875,2020-01-14 12:00:02-05:00
482,Ensuring Safe Syringe Use,Health,Healthcare,Sylvai,,13592,2041,2020-01-25 00:00:04-05:00
483,Promotion of Recycling,Environmental,All Businesses - Mild,Greifenburg,,12338,3334,2020-02-28 12:00:02-05:00
484,Disease Naming Compact,Health,Bioethics,Tinhampton,,8493,7204,2020-03-17 00:00:02-04:00
485,"Repeal ""Disease Naming Compact""",Repeal,484,Gorundu,Kelssek,12939,2006,2020-03-29 12:00:02-04:00
486,Prevention Of Forced Sterilisation,Civil Rights,Mild,Maowi,"Marxist Germany, Imperium Anglorum",20764,2989,2020-04-24 12:00:02-04:00
487,Ban on the Administration of Unwanted Substances,Regulation,Safety,Morover,,14543,9120,2020-05-06 12:00:02-04:00
488,"Repeal ""Ensuring Safe Syringe Use""",Repeal,482,Morover,,19244,3770,2020-05-22 12:00:03-04:00
489,Ethical Treatment of Animals in Research,Health,Bioethics,Maowi,,18363,3675,2020-05-26 12:00:03-04:00
490,Military Identification Tag Act,International Security,Mild,Alba and Cymru,,18296,3235,2020-05-30 12:00:03-04:00
491,Rights of the employed,Civil Rights,Strong,The Greater Soviet North America,Tinhampton,11828,10133,2020-06-07 12:00:02-04:00
492,Proper Hygiene For Medical Instruments,Health,Healthcare,Morover,Imperium Anglorum,18256,1803,2020-06-11 12:00:02-04:00
493,Language and Education Rights for Deaf Individuals,Education and Creativity,Cultural Heritage,Morover,,17814,1221,2020-06-15 12:00:03-04:00
494,Regulating Desalination,Environmental,All Businesses - Mild,Honeydewistania,Kenmoria,11930,6378,2020-06-19 12:00:03-04:00
